brian,0x5b76f5B8fc9D700624F78208132f91AD4e61a1f0,,
brianarmstrong,0x5b76f5B8fc9D700624F78208132f91AD4e61a1f0,,
gregtusar,0x9a0877eA7B2A0ACD59e68D5594c09F09Bb95d94d,,
gregorytusar,0x9a0877eA7B2A0ACD59e68D5594c09F09Bb95d94d,,
alesiahaas,0xbeb981f82ea4a2bebd0cc366fa4fc11a94697976,,
alesiajhaas,0xbeb981f82ea4a2bebd0cc366fa4fc11a94697976,,
jpollak,0x2211d1D0020DAEA8039E46Cf1367962070d77DA9,,
maxbranzburg,0x416e0C10a3760A35f1891455f30e415e96FBD779,,
paulgrewal,0x9A34A73650396e603eDB3b12d56a9Ebf270a9720,,
patchwork,0x0434A5D1D94cA3aa838B8C1F77f2da0b70ac357c,,
pods,0x050549F8c196Bf1bcC293172746c847fD4D77d9d,,
llamao,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,,
defillama,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,,
llama,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,,
llamanodes,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,,
dimo,0x0a3092E52BD2565e451E846f064D63dC6864FF06,,
rodeo,0x0C05C7e20Ae245ad9F8f2a3aF8e729c1eF5B6B77,,
highlight,0x168FEB2E7de2aC0c37a239261D3F9e1b396F22a2,,
chronoforge,0x17A45F80eFd20594afE2c59D7e1Ae7AB0c6954Cc,,
arkham,0x19710D5180A69D89F9Aa464B33cc5c30AcA0Ce4a,,
wagmigames,0x19E96afDE76D4eb120D9c0F1609E6e4AFa077fF3,,
beefy,0x1A07DceEfeEbBA3D1873e2B92BeF190d2f11C3cB,,
rarible,0x1cf0dF2A5A20Cd61d68d4489eEBbf85b8d39e18a,,
blockscout,0x242ba6d68FfEb4a098B591B32d370F973FF882B7,,
synfutures,0x27AebE9c8954fC9ccfC4B0d477396188B8bfd832,,
subquery,0x31E99bdA5939bA2e7528707507b017f43b67F89B,,
rounds,0x322D9d4FAD6a33D27448cb646292E1bf893f40DD,,
farworld,0x33C5dFAB83B10E7f29b4D6bce7839F6125fbBa28,,
rabby,0x341a1fBD51825E5a107DB54cCb3166DeBA145479,,
debank,0x341a1fBD51825E5a107DB54cCb3166DeBA145479,,
mavia,0x354086d5ecFa27749732c7E931152B2517E3059A,,
avantis,0x3775AF82c6C5705140944cD515fE899214Fb0288,,
l2beat,0x41626BA92c0C2a1aD38fC83920300434082B1870,,
dynamic,0x475D59919aBced714a52E33511e505b94CfC6dBa,,
nansen,0x4a7c6899cdcb379e284fbfd045462e751da4c7ce,,
signal,0x4AEf5F616C4F7f042EB292e57fc159F8b71C413E,,
cooprecords,0x512b55b00d744fC2eDB8474f223a7498c3e5a7ce,,
iskra,0x5418707F24784906915bCE1304c7F290C7110F47,,
etherfi,0x54dcbE3cDFf4543316C020D35FA583c0C47a3850,,
ethlas,0x56592eCAd18Fe1b3438b21d718afd97885350AfC,,
